cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
656,EXOTIC,23943,35282,4242,33886
657,EXOTIC,23268,34434,4194,33883
658,EXOTIC,22575,33163,4610,33879
659,EXOTIC,21941,32083,4846,33877
660,EXOTIC,21360,31109,5016,33881
661,EXOTIC,26441,30349,5004,33882
662,EXOTIC,25711,29684,4949,33878
663,EXOTIC,5383,48623,4904,33877
664,EXOTIC,5237,47409,4856,33871
665,EXOTIC,5087,46291,4807,33866
666,EXOTIC,4946,45127,4753,33865
667,EXOTIC,4814,44008,4690,33865
668,EXOTIC,4690,42938,4638,33864
669,EXOTIC,4568,41940,4599,33861
670,EXOTIC,4432,40831,4623,33862
671,EXOTIC,4311,39798,4620,33875
672,EXOTIC,4193,38788,4596,33887
673,EXOTIC,33686,37864,4552,33890
674,EXOTIC,32731,36990,4512,33893
675,EXOTIC,27872,40012,4475,33892
676,EXOTIC,27039,39062,4424,33890
677,EXOTIC,26278,38111,4377,33886
678,EXOTIC,25557,37234,4331,33885
679,EXOTIC,24859,36358,4288,33887
680,EXOTIC,24178,35519,4246,33885
681,EXOTIC,23454,34682,4192,33881
682,EXOTIC,22739,33386,4606,33876
683,EXOTIC,22077,32328,4852,33876
684,EXOTIC,21461,31342,5018,33878
685,EXOTIC,26574,30608,5017,33876
686,EXOTIC,25806,29894,4963,33871
687,EXOTIC,5383,48903,4923,33867
688,EXOTIC,5231,47693,4868,33863
689,EXOTIC,5075,46522,4831,33861
690,EXOTIC,4944,45343,4777,33859
691,EXOTIC,4824,44232,4727,33854
692,EXOTIC,4663,43077,4680,33851
693,EXOTIC,4517,42066,4632,33850
694,EXOTIC,4393,40979,4666,33856
695,EXOTIC,4270,39943,4660,33868
696,EXOTIC,4151,38990,4643,33887
697,EXOTIC,33807,38012,4595,33894
698,EXOTIC,32798,37135,4543,33894
699,EXOTIC,28032,40046,4491,33886
700,EXOTIC,27199,39079,4435,33890
701,EXOTIC,26414,38109,4386,33891
702,EXOTIC,25657,37199,4344,33891
703,EXOTIC,24888,36353,4295,33893
704,EXOTIC,24140,35516,4262,33889
705,EXOTIC,23454,34693,4217,33887
706,EXOTIC,22800,33405,4616,33884
707,EXOTIC,22164,32289,4872,33883
708,EXOTIC,21547,31318,5053,33888
709,EXOTIC,26688,30554,5034,33889
710,EXOTIC,25937,29866,4981,33890
711,EXOTIC,5374,49014,4944,33886
712,EXOTIC,5231,47778,4901,33886
713,EXOTIC,5074,46661,4854,33885
714,EXOTIC,4935,45507,4805,33879
715,EXOTIC,4792,44386,4751,33881
716,EXOTIC,4652,43319,4708,33878
717,EXOTIC,4518,42289,4673,33874
718,EXOTIC,4386,41214,4711,33877
719,EXOTIC,4263,40090,4723,33891
720,EXOTIC,4142,39086,4701,33911
721,EXOTIC,33993,38134,4644,33916
722,EXOTIC,32985,37221,4594,33915
723,EXOTIC,28183,40124,4549,33915
724,EXOTIC,27298,39182,4493,33915
725,EXOTIC,26492,38263,4456,33911
726,EXOTIC,25711,37320,4410,33907
727,EXOTIC,24969,36466,4358,33913
728,EXOTIC,24293,35607,4325,33910
729,EXOTIC,23593,34751,4288,33907
730,EXOTIC,22903,33501,4700,33904
731,EXOTIC,22248,32450,4929,33901
732,EXOTIC,21616,31471,5138,33901
733,EXOTIC,26761,30624,5112,33899
734,EXOTIC,25980,29894,5036,33895
735,EXOTIC,5397,49055,4985,33894
736,EXOTIC,5220,47791,4922,33892
737,EXOTIC,5064,46640,4863,33890
738,EXOTIC,4922,45511,4816,33890
739,EXOTIC,4795,44442,4775,33891
740,EXOTIC,4673,43384,4721,33891
741,EXOTIC,4539,42294,4671,33888
742,EXOTIC,4412,41236,4685,33897
743,EXOTIC,4277,40168,4693,33903
744,EXOTIC,4159,39141,4677,33916
745,EXOTIC,34249,38143,4639,33921
746,EXOTIC,33209,37269,4581,33924
747,EXOTIC,28463,40174,4536,33922
748,EXOTIC,27635,39242,4486,33923
749,EXOTIC,26813,38292,4441,33925
750,EXOTIC,26058,37362,4395,33926
751,EXOTIC,25312,36481,4334,33938
752,EXOTIC,24605,35611,4292,33936
753,EXOTIC,23902,34758,4263,33933
754,EXOTIC,23236,33542,4658,33932
755,EXOTIC,22556,32551,4865,33931
756,EXOTIC,21918,31581,5047,33932
757,EXOTIC,27011,30797,5042,33929
758,EXOTIC,26180,30101,4978,33928
759,EXOTIC,5387,49440,4938,33926
760,EXOTIC,5223,48187,4880,33924
761,EXOTIC,5073,47053,4826,33924
762,EXOTIC,4924,45910,4783,33924
763,EXOTIC,4761,44780,4716,33928
764,EXOTIC,4623,43698,4677,33927
765,EXOTIC,4495,42657,4628,33924
766,EXOTIC,4372,41497,4659,33930
767,EXOTIC,4242,40479,4647,33939
768,EXOTIC,4117,39401,4612,33956
769,EXOTIC,34513,38483,4565,33957
770,EXOTIC,33520,37624,4511,33963
771,EXOTIC,28743,40507,4442,33961
772,EXOTIC,27942,39538,4387,33963
773,EXOTIC,27110,38571,4335,33965
774,EXOTIC,26387,37637,4299,33970
775,EXOTIC,25638,36764,4255,33975
776,EXOTIC,24916,35948,4217,33973
777,EXOTIC,24194,35157,4178,33968
778,EXOTIC,23525,33942,4562,33968
779,EXOTIC,22883,32766,4846,33968
780,EXOTIC,22254,31801,5027,33969
781,EXOTIC,27318,30994,5011,33966
782,EXOTIC,26543,30280,4954,33964
783,EXOTIC,5424,49976,4905,33963
784,EXOTIC,5257,48725,4851,33961
785,EXOTIC,5113,47554,4805,33961
786,EXOTIC,4983,46407,4762,33959
787,EXOTIC,4855,45241,4703,33951
788,EXOTIC,4712,44126,4649,33948
789,EXOTIC,4574,43038,4605,33945
790,EXOTIC,4451,41940,4622,33947
791,EXOTIC,4309,40861,4611,33956
792,EXOTIC,4193,39861,4601,33968
793,EXOTIC,34898,38890,4550,33974
794,EXOTIC,33881,37923,4505,33976
795,EXOTIC,29043,40888,4458,33975
796,EXOTIC,28200,39896,4410,33980
797,EXOTIC,27363,38936,4356,33976
798,EXOTIC,26612,38005,4305,33978
799,EXOTIC,25795,37133,4252,33983
800,EXOTIC,25018,36275,4211,33980
801,EXOTIC,24245,35430,4170,33978
802,EXOTIC,23561,34204,4562,33974
803,EXOTIC,22909,33140,4806,33972
804,EXOTIC,22230,32080,5004,33973
805,EXOTIC,27376,31311,4965,33977
806,EXOTIC,26536,30552,4914,33975
807,EXOTIC,5405,50256,4852,33973
808,EXOTIC,5254,49049,4797,33974
809,EXOTIC,5100,47868,4751,33971
810,EXOTIC,4936,46693,4699,33966
811,EXOTIC,4807,45595,4643,33961
812,EXOTIC,4672,44522,4601,33958
813,EXOTIC,4544,43487,4546,33953
814,EXOTIC,4416,42324,4557,33961
815,EXOTIC,4281,41265,4572,33962
816,EXOTIC,4156,40290,4549,33974
817,EXOTIC,35191,39304,4490,33981
818,EXOTIC,34122,38374,4451,33981
819,EXOTIC,29339,41248,4403,33981
820,EXOTIC,28479,40242,4347,33985
821,EXOTIC,27660,39266,4311,33983
822,EXOTIC,26796,38352,4259,33987
823,EXOTIC,26031,37471,4209,33992
824,EXOTIC,25311,36567,4170,33990
825,EXOTIC,24550,35714,4132,33986
826,EXOTIC,23839,34401,4541,33984
827,EXOTIC,23176,33319,4787,33984
828,EXOTIC,22514,32336,4966,33988
829,EXOTIC,27655,31558,4963,33992
830,EXOTIC,26852,30830,4914,33990
831,EXOTIC,5428,50858,4870,33987
832,EXOTIC,5278,49623,4801,33986
833,EXOTIC,5133,48405,4739,33983
834,EXOTIC,5009,47222,4697,33980
835,EXOTIC,4858,46029,4646,33979
836,EXOTIC,4720,44910,4603,33978
837,EXOTIC,4571,43868,4559,33976
838,EXOTIC,4452,42713,4580,33983
839,EXOTIC,4317,41607,4581,33997
840,EXOTIC,4199,40543,4559,34012
841,EXOTIC,35581,39656,4519,34021
842,EXOTIC,34557,38715,4472,34020
843,EXOTIC,29705,41630,4424,34017
844,EXOTIC,28870,40605,4366,34021
845,EXOTIC,28053,39630,4323,34021
846,EXOTIC,27276,38697,4269,34023
847,EXOTIC,26497,37761,4233,34024
848,EXOTIC,25752,36859,4198,34021
849,EXOTIC,24996,36029,4140,34020
850,EXOTIC,24327,34701,4570,34018
851,EXOTIC,23631,33559,4847,34018
852,EXOTIC,22974,32558,5035,34023
853,EXOTIC,28133,31755,5044,34023
854,EXOTIC,27269,31013,4988,34021
855,EXOTIC,5417,51340,4941,34020
856,EXOTIC,5250,50061,4893,34017
857,EXOTIC,5086,48831,4851,34016
858,EXOTIC,4930,47593,4788,34016
859,EXOTIC,4796,46439,4722,34015
860,EXOTIC,4655,45335,4682,34013
861,EXOTIC,4533,44207,4642,34010
862,EXOTIC,4405,43079,4676,34013
863,EXOTIC,4254,41917,4674,34019
864,EXOTIC,4132,40842,4654,34043
865,EXOTIC,35924,39906,4597,34054
866,EXOTIC,34868,38964,4546,34052
867,EXOTIC,30026,41829,4503,34050
868,EXOTIC,29156,40798,4464,34049
869,EXOTIC,28290,39813,4415,34047
870,EXOTIC,27466,38867,4363,34048
871,EXOTIC,26673,37905,4318,34051
872,EXOTIC,25929,37022,4277,34048
873,EXOTIC,25181,36147,4227,34045
874,EXOTIC,24491,34844,4621,34046
875,EXOTIC,23780,33763,4831,34048
876,EXOTIC,23119,32726,5016,34048
877,EXOTIC,28246,31925,5014,34046
878,EXOTIC,27441,31163,4946,34045
879,EXOTIC,5464,51598,4899,34043
880,EXOTIC,5314,50353,4836,34042
881,EXOTIC,5157,49183,4790,34040
882,EXOTIC,5006,47955,4746,34038
883,EXOTIC,4842,46837,4689,34038
884,EXOTIC,4693,45698,4626,34038
885,EXOTIC,4566,44553,4580,34035
886,EXOTIC,4446,43383,4621,34039
887,EXOTIC,4307,42337,4618,34050
888,EXOTIC,4199,41239,4586,34074
889,EXOTIC,36486,40205,4540,34081
890,EXOTIC,35395,39190,4492,34084
891,EXOTIC,30487,42137,4451,34084
892,EXOTIC,29597,41087,4409,34086
893,EXOTIC,28707,40118,4362,34084
894,EXOTIC,27820,39131,4319,34085
895,EXOTIC,27019,38172,4259,34089
896,EXOTIC,26250,37219,4221,34086
897,EXOTIC,25475,36344,4179,34085
898,EXOTIC,24757,35069,4613,34082
899,EXOTIC,24035,33929,4855,34082
900,EXOTIC,23368,32911,5013,34086
901,EXOTIC,28534,32126,4996,34085
902,EXOTIC,27755,31370,4938,34088
903,EXOTIC,5464,52088,4874,34086
904,EXOTIC,5311,50761,4820,34087
905,EXOTIC,5148,49532,4770,34085
906,EXOTIC,5011,48321,4723,34086
907,EXOTIC,4857,47183,4670,34087
908,EXOTIC,4715,46011,4616,34083
909,EXOTIC,4576,44857,4570,34078
910,EXOTIC,4451,43648,4605,34087
911,EXOTIC,4323,42554,4612,34098
912,EXOTIC,4215,41515,4617,34109
913,EXOTIC,37021,40489,4575,34112
914,EXOTIC,35864,39505,4527,34111
915,EXOTIC,30868,42456,4467,34110
916,EXOTIC,29975,41431,4426,34112
917,EXOTIC,29099,40423,4383,34114
918,EXOTIC,28251,39466,4318,34116
919,EXOTIC,27431,38551,4252,34120
920,EXOTIC,26643,37619,4205,34119
921,EXOTIC,25906,36734,4144,34113
922,EXOTIC,25185,35422,4557,34114
923,EXOTIC,24471,34301,4813,34115
924,EXOTIC,23754,33298,5016,34115
925,EXOTIC,28930,32462,5002,34116
926,EXOTIC,28135,31682,4934,34114
927,EXOTIC,5446,52902,4897,34110
928,EXOTIC,5311,51588,4841,34110
929,EXOTIC,5151,50302,4784,34106
930,EXOTIC,4994,49078,4746,34104
931,EXOTIC,4872,47852,4690,34101
932,EXOTIC,4729,46639,4638,34099
933,EXOTIC,4612,45504,4583,34095
934,EXOTIC,4473,44298,4622,34099
935,EXOTIC,4341,43161,4629,34106
936,EXOTIC,4225,42064,4601,34123
937,EXOTIC,37631,41056,4539,34128
938,EXOTIC,36497,40082,4494,34129
939,EXOTIC,31515,43045,4446,34126
940,EXOTIC,30554,41983,4399,34130
941,EXOTIC,29665,40970,4350,34128
942,EXOTIC,28757,39984,4297,34135
943,EXOTIC,27928,39009,4247,34143
944,EXOTIC,27101,38155,4213,34140
945,EXOTIC,26341,37240,4164,34139
946,EXOTIC,25599,35923,4556,34139
947,EXOTIC,24841,34755,4850,34142
948,EXOTIC,24111,33667,5057,34143
949,EXOTIC,29234,32876,5041,34143
950,EXOTIC,28423,32136,4985,34138
951,EXOTIC,5494,53549,4932,34138
952,EXOTIC,5357,52188,4888,34137
953,EXOTIC,5213,50859,4826,34136
954,EXOTIC,5088,49578,4772,34135
955,EXOTIC,4952,48323,4716,34135
956,EXOTIC,4807,47152,4671,34132
957,EXOTIC,4672,46069,4621,34132
958,EXOTIC,4541,44881,4657,34133
959,EXOTIC,4424,43744,4653,34144
960,EXOTIC,4291,42719,4640,34166
961,EXOTIC,38347,41681,4581,34174
962,EXOTIC,37244,40633,4532,34175
963,EXOTIC,32121,43624,4497,34175
964,EXOTIC,31245,42543,4443,34181
965,EXOTIC,30347,41532,4394,34182
966,EXOTIC,29403,40551,4348,34185
967,EXOTIC,28533,39585,4284,34188
968,EXOTIC,27743,38667,4238,34184
969,EXOTIC,26948,37787,4178,34181
970,EXOTIC,26156,36426,4654,34179
971,EXOTIC,25419,35257,4930,34179
972,EXOTIC,24668,34153,5116,34180
973,EXOTIC,29799,33361,5088,34179
974,EXOTIC,28932,32575,5036,34180
975,EXOTIC,5537,54447,4973,34178
976,EXOTIC,5392,53121,4918,34175
977,EXOTIC,5245,51800,4862,34171
978,EXOTIC,5092,50528,4809,34170
979,EXOTIC,4968,49257,4755,34171
980,EXOTIC,4836,47974,4722,34168
981,EXOTIC,4707,46845,4683,34166
982,EXOTIC,4576,45625,4718,34167
983,EXOTIC,4444,44448,4733,34174
984,EXOTIC,4338,43247,4713,34195
985,EXOTIC,38993,42186,4667,34203
986,EXOTIC,37842,41157,4615,34206
987,EXOTIC,32783,44139,4565,34205
988,EXOTIC,31818,43075,4522,34206
989,EXOTIC,30909,42049,4475,34206
990,EXOTIC,30009,41062,4438,34207
991,EXOTIC,29187,40081,4388,34207
992,EXOTIC,28365,39171,4348,34204
993,EXOTIC,27538,38258,4307,34202
994,EXOTIC,26737,36930,4715,34201
995,EXOTIC,25982,35746,5001,34202
996,EXOTIC,25219,34654,5163,34207
997,EXOTIC,30391,33821,5144,34205
998,EXOTIC,29552,33067,5083,34203
999,EXOTIC,5544,55519,5030,34202
1000,EXOTIC,5379,54104,4975,34202
1001,EXOTIC,5225,52765,4918,34200
1002,EXOTIC,5091,51437,4867,34200
1003,EXOTIC,4962,50206,4810,34199
1004,EXOTIC,4834,48945,4770,34197
1005,EXOTIC,4692,47755,4733,34194
1006,EXOTIC,4551,46523,4755,34197
1007,EXOTIC,4428,45383,4738,34214
1008,EXOTIC,4309,44294,4716,34234
1009,EXOTIC,39745,43223,4654,34240
1010,EXOTIC,38572,42241,4591,34241
1011,EXOTIC,33473,45251,4550,34240
1012,EXOTIC,32435,44203,4505,34243
1013,EXOTIC,31479,43169,4452,34246
1014,EXOTIC,30563,42143,4406,34245
1015,EXOTIC,29702,41203,4373,34249
1016,EXOTIC,28846,40225,4329,34247
1017,EXOTIC,28029,39274,4285,34244
1018,EXOTIC,27206,37893,4722,34242
1019,EXOTIC,26423,36753,4996,34242
1020,EXOTIC,25703,35625,5190,34242
1021,EXOTIC,30815,34744,5188,34242
1022,EXOTIC,29948,33925,5133,34237
1023,EXOTIC,5597,56612,5074,34233
1024,EXOTIC,5449,55231,5014,34235
1025,EXOTIC,5289,53895,4944,34232
1026,EXOTIC,5118,52535,4895,34234
1027,EXOTIC,4975,51306,4856,34232
1028,EXOTIC,4827,50074,4804,34231
1029,EXOTIC,4694,48829,4740,34231
1030,EXOTIC,4563,47570,4762,34233
1031,EXOTIC,4419,46412,4766,34234
1032,EXOTIC,4301,45294,4732,34256
1033,EXOTIC,40522,44163,4684,34263
1034,EXOTIC,39378,43121,4635,34264
1035,EXOTIC,34265,46114,4581,34264
1036,EXOTIC,33297,44975,4523,34270
1037,EXOTIC,32335,43906,4478,34268
1038,EXOTIC,31378,42872,4432,34270
1039,EXOTIC,30539,41882,4390,34272
1040,EXOTIC,29659,40888,4344,34270
1041,EXOTIC,28835,39876,4305,34270
1042,EXOTIC,27992,38428,4749,34270
1043,EXOTIC,27200,37221,5019,34270
1044,EXOTIC,26381,36123,5235,34270
1045,EXOTIC,31531,35242,5221,34271
1046,EXOTIC,30617,34438,5155,34271
1047,EXOTIC,5578,57845,5111,34271
1048,EXOTIC,5421,56431,5053,34268
1049,EXOTIC,5284,55046,4998,34265
1050,EXOTIC,5154,53759,4936,34265
1051,EXOTIC,4996,52498,4885,34265
1052,EXOTIC,4848,51189,4829,34262
1053,EXOTIC,4706,49946,4776,34261
1054,EXOTIC,4577,48672,4794,34268
1055,EXOTIC,4445,47485,4796,34272
1056,EXOTIC,4325,46341,4777,34289
1057,EXOTIC,41391,45204,4729,34287
1058,EXOTIC,40238,44133,4670,34285
1059,EXOTIC,35118,47051,4616,34283
1060,EXOTIC,34087,45865,4563,34288
1061,EXOTIC,33028,44726,4516,34288
1062,EXOTIC,32076,43702,4454,34294
1063,EXOTIC,31170,42648,4397,34305
1064,EXOTIC,30244,41701,4358,34303
1065,EXOTIC,29379,40649,4318,34300
1066,EXOTIC,28561,39195,4789,34299
1067,EXOTIC,27720,37919,5074,34295
1068,EXOTIC,26886,36775,5264,34298
1069,EXOTIC,32045,35911,5256,34298
1070,EXOTIC,31106,35062,5207,34297
1071,EXOTIC,5587,58959,5157,34296
1072,EXOTIC,5419,57530,5103,34296
1073,EXOTIC,5236,56102,5043,34297
1074,EXOTIC,5088,54712,4982,34299
1075,EXOTIC,4947,53345,4921,34298
1076,EXOTIC,4812,52119,4883,34295
1077,EXOTIC,4647,50858,4827,34293
1078,EXOTIC,4500,49547,4856,34294
1079,EXOTIC,4372,48304,4855,34308
1080,EXOTIC,4243,47134,4846,34323
1081,EXOTIC,42288,45954,4804,34325
1082,EXOTIC,41065,44836,4762,34327
1083,EXOTIC,35970,47683,4715,34324
1084,EXOTIC,34872,46542,4653,34328
1085,EXOTIC,33805,45412,4593,34329
1086,EXOTIC,32765,44269,4532,34331
1087,EXOTIC,31791,43237,4487,34333
1088,EXOTIC,30873,42245,4440,34332
1089,EXOTIC,30013,41272,4407,34332
1090,EXOTIC,29141,39774,4864,34327
1091,EXOTIC,28310,38487,5143,34329
1092,EXOTIC,27535,37333,5352,34330
1093,EXOTIC,32739,36442,5358,34326
1094,EXOTIC,31792,35614,5297,34322
1095,EXOTIC,5655,60075,5229,34321
1096,EXOTIC,5505,58549,5161,34320
1097,EXOTIC,5332,57093,5101,34317
1098,EXOTIC,5190,55669,5033,34314
1099,EXOTIC,5040,54333,4971,34314
1100,EXOTIC,4895,53028,4914,34312
1101,EXOTIC,4749,51732,4856,34312
1102,EXOTIC,4637,50362,4896,34316
1103,EXOTIC,4497,49096,4893,34325
1104,EXOTIC,4358,47890,4875,34343
1105,EXOTIC,43404,46695,4821,34350
1106,EXOTIC,42148,45593,4773,34352
1107,EXOTIC,36908,48530,4721,34352
1108,EXOTIC,35868,47361,4667,34352
1109,EXOTIC,34873,46218,4618,34353
1110,EXOTIC,33852,45151,4565,34358
1111,EXOTIC,32916,44114,4510,34357
1112,EXOTIC,31932,43080,4464,34355
1113,EXOTIC,31004,42058,4416,34352
1114,EXOTIC,30121,40642,4883,34351
1115,EXOTIC,29315,39367,5168,34350
1116,EXOTIC,28481,38165,5392,34351
1117,EXOTIC,33693,37273,5378,34349
1118,EXOTIC,32722,36417,5329,34347
1119,EXOTIC,5668,61704,5266,34345
1120,EXOTIC,5491,60132,5215,34345
1121,EXOTIC,5328,58668,5158,34344
1122,EXOTIC,5182,57250,5098,34344
1123,EXOTIC,5047,55875,5038,34345
1124,EXOTIC,4909,54565,4981,34342
1125,EXOTIC,4752,53230,4929,34340
1126,EXOTIC,4644,51924,4947,34346
1127,EXOTIC,4512,50566,4961,34350
1128,EXOTIC,4381,49336,4937,34379
1129,EXOTIC,44528,48167,4878,34384
1130,EXOTIC,43253,47071,4811,34387
1131,EXOTIC,37913,49969,4747,34386
1132,EXOTIC,36838,48783,4700,34385
1133,EXOTIC,35711,47580,4649,34388
1134,EXOTIC,34654,46431,4593,34388
1135,EXOTIC,33616,45340,4548,34394
1136,EXOTIC,32621,44238,4492,34393
1137,EXOTIC,31704,43223,4448,34392
1138,EXOTIC,30785,41668,4952,34391
1139,EXOTIC,29909,40366,5229,34390
1140,EXOTIC,29063,39089,5455,34391
1141,EXOTIC,34379,38142,5470,34391
1142,EXOTIC,33388,37225,5420,34388
1143,EXOTIC,5752,63076,5350,34385
1144,EXOTIC,5605,61544,5288,34385
1145,EXOTIC,5468,59965,5228,34387
1146,EXOTIC,5296,58497,5161,34387
1147,EXOTIC,5155,57069,5101,34386
1148,EXOTIC,5010,55624,5053,34380
1149,EXOTIC,4844,54243,5002,34377
1150,EXOTIC,4706,52834,5050,34380
1151,EXOTIC,4575,51514,5055,34388
1152,EXOTIC,4451,50226,5035,34403
1153,EXOTIC,45786,49058,4989,34410
1154,EXOTIC,44419,47874,4925,34417
1155,EXOTIC,39037,50801,4884,34417
1156,EXOTIC,37858,49622,4821,34415
1157,EXOTIC,36766,48454,4760,34414
1158,EXOTIC,35717,47264,4712,34415
1159,EXOTIC,34656,46123,4661,34422
1160,EXOTIC,33646,44996,4617,34422
1161,EXOTIC,32690,44005,4585,34421
1162,EXOTIC,31712,42433,5119,34421
1163,EXOTIC,30848,41060,5428,34419
1164,EXOTIC,29962,39762,5635,34422
1165,EXOTIC,35373,38699,5623,34423
1166,EXOTIC,34381,37796,5553,34422
1167,EXOTIC,5901,64516,5495,34420
1168,EXOTIC,5724,62898,5425,34422
1169,EXOTIC,5581,61336,5370,34423
1170,EXOTIC,5419,59782,5305,34423
1171,EXOTIC,5263,58314,5247,34422
1172,EXOTIC,5102,56890,5188,34422
1173,EXOTIC,4970,55492,5124,34418
1174,EXOTIC,4819,54082,5164,34424
1175,EXOTIC,4685,52721,5151,34432
1176,EXOTIC,4567,51444,5121,34452
1177,EXOTIC,47066,50180,5071,34460
1178,EXOTIC,45780,48982,5014,34461
1179,EXOTIC,40274,52004,4955,34459
1180,EXOTIC,39111,50789,4896,34460
1181,EXOTIC,37918,49594,4845,34459
1182,EXOTIC,36834,48442,4788,34460
1183,EXOTIC,35763,47311,4746,34465
1184,EXOTIC,34760,46153,4703,34464
1185,EXOTIC,33737,45111,4654,34461
1186,EXOTIC,32771,43487,5191,34462
1187,EXOTIC,31858,42144,5472,34464
1188,EXOTIC,30936,40896,5698,34461
1189,EXOTIC,36437,39879,5689,34463
1190,EXOTIC,35374,38920,5629,34464
1191,EXOTIC,5991,66419,5576,34460
1192,EXOTIC,5809,64806,5507,34462
1193,EXOTIC,5660,63204,5454,34457
1194,EXOTIC,5494,61625,5380,34456
1195,EXOTIC,5333,60074,5322,34454
1196,EXOTIC,5164,58573,5268,34452
1197,EXOTIC,5004,57162,5214,34451
1198,EXOTIC,4870,55691,5262,34457
1199,EXOTIC,4718,54237,5243,34473
1200,EXOTIC,4607,52951,5219,34494
1201,EXOTIC,48352,51712,5162,34499
1202,EXOTIC,46911,50477,5108,34500
1203,EXOTIC,41343,53528,5063,34496
1204,EXOTIC,40146,52243,5008,34501
1205,EXOTIC,38975,50944,4965,34501
1206,EXOTIC,37822,49738,4899,34500
1207,EXOTIC,36759,48495,4838,34504
1208,EXOTIC,35684,47350,4794,34502
1209,EXOTIC,34636,46180,4743,34501
1210,EXOTIC,33650,44516,5257,34501
1211,EXOTIC,32679,43133,5567,34497
1212,EXOTIC,31765,41915,5755,34502
1213,EXOTIC,37489,40910,5746,34499
1214,EXOTIC,36506,39984,5676,34500
1215,EXOTIC,6211,68342,5622,34497
1216,EXOTIC,6030,66615,5559,34492
1217,EXOTIC,5846,65002,5508,34490
1218,EXOTIC,5694,63412,5458,34491
1219,EXOTIC,5513,61864,5389,34491
1220,EXOTIC,5388,60337,5320,34490
1221,EXOTIC,5229,58889,5256,34486
1222,EXOTIC,5060,57395,5276,34491
1223,EXOTIC,4926,55990,5282,34500
1224,EXOTIC,4795,54614,5240,34515
1225,EXOTIC,49719,53293,5197,34517
1226,EXOTIC,48259,52011,5125,34518
1227,EXOTIC,42448,55170,5078,34516
1228,EXOTIC,41144,53843,5012,34521
1229,EXOTIC,40013,52613,4957,34520
1230,EXOTIC,38853,51349,4897,34521
1231,EXOTIC,37719,50158,4831,34531
1232,EXOTIC,36634,48963,4782,34524
1233,EXOTIC,35635,47795,4742,34520
1234,EXOTIC,34631,46028,5301,34517
1235,EXOTIC,33692,44585,5644,34519
1236,EXOTIC,32726,43206,5883,34516
1237,EXOTIC,38616,42161,5877,34517
1238,EXOTIC,37473,41203,5798,34514
1239,EXOTIC,6399,70331,5745,34512
1240,EXOTIC,6195,68513,5684,34513
1241,EXOTIC,6014,66767,5618,34510
1242,EXOTIC,5854,65112,5555,34512
1243,EXOTIC,5684,63478,5496,34511
1244,EXOTIC,5497,61885,5435,34509
1245,EXOTIC,5337,60348,5388,34509
1246,EXOTIC,5178,58723,5421,34513
1247,EXOTIC,5017,57251,5412,34525
1248,EXOTIC,4865,55911,5381,34545
1249,EXOTIC,50917,54549,5346,34549
1250,EXOTIC,49427,53192,5278,34552
1251,EXOTIC,43557,56414,5230,34552
1252,EXOTIC,42286,55165,5165,34551
1253,EXOTIC,41137,53789,5098,34552
1254,EXOTIC,39950,52562,5040,34552
1255,EXOTIC,38753,51277,4973,34553
1256,EXOTIC,37609,50081,4928,34551
1257,EXOTIC,36532,48886,4886,34549
1258,EXOTIC,35488,47151,5429,34553
1259,EXOTIC,34455,45670,5781,34552
1260,EXOTIC,33448,44361,5997,34554
1261,EXOTIC,39640,43202,5980,34552
1262,EXOTIC,38516,42221,5914,34550
1263,EXOTIC,6672,71994,5857,34550
1264,EXOTIC,6486,70164,5796,34549
1265,EXOTIC,6330,68385,5736,34547
1266,EXOTIC,6120,66729,5679,34548
1267,EXOTIC,5947,65048,5614,34551
1268,EXOTIC,5775,63475,5545,34548
1269,EXOTIC,5611,61895,5478,34547
1270,EXOTIC,5476,60289,5511,34552
1271,EXOTIC,5324,58781,5506,34561
1272,EXOTIC,5158,57356,5490,34580
1273,EXOTIC,52492,55936,5423,34584
1274,EXOTIC,50911,54641,5353,34590
1275,EXOTIC,44782,58071,5292,34588
1276,EXOTIC,43413,56619,5248,34593
1277,EXOTIC,42178,55189,5177,34593
1278,EXOTIC,40928,53886,5116,34598
1279,EXOTIC,39767,52576,5045,34600
1280,EXOTIC,38629,51368,5000,34597
1281,EXOTIC,37563,50144,4956,34595
1282,EXOTIC,36475,48309,5509,34594
1283,EXOTIC,35431,46775,5826,34597
1284,EXOTIC,34423,45354,6119,34599
1285,EXOTIC,40881,44235,6132,34599
1286,EXOTIC,39747,43225,6068,34596
1287,EXOTIC,6989,73919,5992,34594
1288,EXOTIC,6781,72111,5919,34594
1289,EXOTIC,6611,70336,5860,34592
1290,EXOTIC,6404,68571,5805,34590
1291,EXOTIC,6210,66881,5732,34588
1292,EXOTIC,6039,65250,5686,34587
1293,EXOTIC,5891,63705,5635,34586
1294,EXOTIC,5735,62023,5658,34592
1295,EXOTIC,5578,60425,5643,34600
1296,EXOTIC,5413,58881,5628,34616
1297,EXOTIC,54011,57472,5557,34627
1298,EXOTIC,52438,56136,5491,34628
1299,EXOTIC,45877,59754,5427,34625
1300,EXOTIC,44459,58274,5376,34628
